id,tweet,polarity,NO URL,NO STOPWORD,NO NUMBER,NO REPEAT,NO ACRONYM,NO NEGATION,OUR
1836028000,@googoodolls http://twitpic.com/56m0y - Really nice!  Grettings from Brazil =P i love goo goo dolls (L',4,@gogodols htp://twitpic.com/my really nice gretings brazil =p love goo goo dols l,@gogodols really nice gretings from brazil =p i love goo goo dols l,@gogodols really nice gretings brazil =p love goo goo dols l,@googoodolls really nice grettings brazil =p love goo goo dolls l,@gogodols really nice gretings brazil =p love goo goo dols l,@gogodols really nice gretings brazil =p love goo goo dols l,really nice gretings brazil =p love goo goo dols l
2204876460,-gasps- dananananaykroyd touring aussie ....  GRRR WHY ALWAYS SYDNEY AND MELBZ FFS,0,gasps dananananaykroyd touring ausie ... grr always sydney melbz fs,gasps dananananaykroyd touring ausie ... grr why always sydney and melbz fs,gasps dananananaykroyd touring ausie ... grr always sydney melbz fs,gasps dananananaykroyd touring australia ... grrr always sydney melbz ffs,gasps dananananaykroyd touring ausie ... grr always sydney melbz fs,gasps dananananaykroyd touring ausie ... grr always sydney melbz fs,gasps dananananaykroyd touring ausie ... grr always sydney melbz fs
1993817089,Modern warfare 2 gameplay looks goood  #xboxe3,4,modern warfare gameplay loks good #xboxe,modern warfare gameplay loks good #xboxe,modern warfare 2 gameplay loks good #xboxe3,modern warfare gameplay looks goood #xboxe,modern warfare gameplay loks good #xboxe,modern warfare gameplay loks good #xboxe,modern warfare gameplay loks good
2055745238,England have won the rugby they played like a well oiled machine ,4,england rugby played like well oiled machine,england have won the rugby they played like a well oiled machine,england rugby played like well oiled machine,england rugby played like well oiled machine,england rugby played like well oiled machine,england rugby played like well oiled machine,england rugby played like well oiled machine
2039738654,eating mcdonalds and watching b work out!  yum! I need to start working out. flabs do not look good on the beach! lols,4,eating mcdonalds watching work yum need start working flabs look good beach lols,eating mcdonalds and watching be work out yum i need to start working out flabs do not look good on the beach lols,eating mcdonalds watching work yum need start working flabs look good beach lols,eating mcdonalds watching work yum need start working flabs look good beach lols,eating mcdonalds watching b work yum need start working flabs look good beach lols,eating mcdonalds watching work yum need start working flabs look good beach lols,eating mcdonalds watching work yum need start working flabs look good beach lols
1977088625,"magic vs lakers... I kno my baby @erik_jamaal is happy, but im so not interested in this match up. idk who I will root 4 ",0,magic vs lakers ... know baby @erik_jamal happy im interested match i dont know root,magic vs lakers ... i know my baby @erik_jamal is happy but im so not interested in this match up i dont know who i will root,magic vs lakers ... know baby @erik_jamal happy im interested match i dont know root 4,magic vs lakers ... know baby @erik_jamaal happy im interested match i dont know root,magic vs lakers ... kno baby @erik_jamal happy im interested match idk root,magic vs lakers ... know baby @erik_jamal happy im interested match i dont know root,magic vs lakers ... know baby _jamal happy im interested match i dont know root
1974642639,@JonasBrothers I LOVE YOU MR PRESIDENT&lt;3 my friend doesnt know about mr president &amp; she thought I said i love obama HAHA! ,4,@jonasbrothers love mr president friend doesnt know mr president thought said love obama haha,@jonasbrothers i love you mr president my friend doesnt know about mr president she thought i said i love obama haha,@jonasbrothers love mr president <3 friend doesnt know mr president thought said love obama haha,@jonasbrothers love mr president friend doesnt know mr president thought said love obama haha,@jonasbrothers love mr president friend doesnt know mr president thought said love obama haha,@jonasbrothers love mr president friend doesnt know mr president thought said love obama haha,love mr president friend doesnt know mr president thought said love obama haha
1468033194,@stephenkruiser I'm so sorry to hear about your dog ,0,@stephenkruiser i'm sorry hear dog,@stephenkruiser i'm so sorry to hear about your dog,@stephenkruiser i'm sorry hear dog,@stephenkruiser i'm sorry hear dog,@stephenkruiser i'm sorry hear dog,@stephenkruiser i'm sorry hear dog,i'm sorry hear dog
2052051192,@Shari58 Still got the fever ,0,@shari still got fever,@shari still got the fever,@shari58 still got fever,@shari still got fever,@shari still got fever,@shari still got fever,still got fever
1978768368,Guess I will go to bed...Cavs lost ,0,guess go bed ... cavs lost,guess i will go to bed ... cavs lost,guess go bed ... cavs lost,guess go bed ... cavs lost,guess go bed ... cavs lost,guess go bed ... cavs lost,guess go bed ... cavs lost
1976962520,ouchyyy booo  headache! going to beed right now. even when its 7:42 oouuuch,0,damn boo headache going bed right even ouch,damn boo headache going to bed right now even when its ouch,damn boo headache going bed right even 7:42 ouch,ouchyyy booo headache going beed right even oouuuch,ouchy boo headache going bed right even ouch,damn boo headache going bed right even ouch,damn boo headache going bed right even ouch
1967985329,And the west was won! Yeah lakers! ,4,west yeah lakers,and the west was won yeah lakers,west yeah lakers,west yeah lakers,west yeah lakers,west yeah lakers,west yeah lakers
1975392285,Mr. iPod is sick ,0,mr ipod sick,mr ipod is sick,mr ipod sick,mr ipod sick,mr ipod sick,mr ipod sick,mr ipod sick
1468021282,"Well, that sucked. ",0,well sucked,well that sucked,well sucked,well sucked,well sucked,well sucked,well sucked
1467971217,"By the way... I never imagined that I'd have 111 followers. Thank you all, even the robots ",4,way ... never imagined i'd folowers thank even robots,by the way ... i never imagined that i'd have folowers thank you all even the robots,way ... never imagined i'd 1 folowers thank even robots,way ... never imagined i'd followers thank even robots,way ... never imagined i'd folowers thank even robots,way ... never imagined i'd folowers thank even robots,way ... never imagined i'd folowers thank even robots
2045381352,@SeattleWillow Have a nice time work! ,4,@seatlewilow nice time work,@seatlewilow have a nice time work,@seatlewilow nice time work,@seattlewillow nice time work,@seatlewilow nice time work,@seatlewilow nice time work,nice time work
2254977181,so glad it isn;t as hot today as yesterday...yet. Still can't shake this headache. ,0,glad hot today yesterday ... yet still can not shake headache,so glad it isn t as hot today as yesterday ... yet still can not shake this headache,glad hot today yesterday ... yet still can not shake headache,glad hot today yesterday ... yet still can not shake headache,glad hot today yesterday ... yet still can not shake headache,glad hot today yesterday ... yet still can't shake headache,glad hot today yesterday ... yet still can not shake headache
2069807761,At starbucks with my new sister  learning her new phone.,4,starbucks new sister learning new phone,at starbucks with my new sister learning her new phone,starbucks new sister learning new phone,starbucks new sister learning new phone,starbucks new sister learning new phone,starbucks new sister learning new phone,starbucks new sister learning new phone
1881614899,@AnnaSaccone sounds yummy! i hate now living on practically nothing! ,0,@anasacone sounds yummy hate living practically nothing,@anasacone sounds yummy i hate now living on practically nothing,@anasacone sounds yummy hate living practically nothing,@annasaccone sounds yummy hate living practically nothing,@anasacone sounds yummy hate living practically nothing,@anasacone sounds yummy hate living practically nothing,sounds yummy hate living practically nothing
1467906151,@Poohpot lmao im sorry poohpot i ate it all! ,0,@pohpot very funny im sorry pohpot ate,@pohpot very funny im sorry pohpot i ate it all,@pohpot very funny im sorry pohpot ate,@poohpot very funny im sorry poohpot ate,@pohpot lmao im sorry pohpot ate,@pohpot very funny im sorry pohpot ate,very funny im sorry pohpot ate
2326395653,have a really sore throat and i think i also have a fever  not good,0,really sore throat think also fever good,have a really sore throat and i think i also have a fever not good,really sore throat think also fever good,really sore throat think also fever good,really sore throat think also fever good,really sore throat think also fever good,really sore throat think also fever good
1548528100,Ashton is going to be Oprah!  All hail the Twitter King! LOL!,4,ashton going oprah hail twitter king very funny,ashton is going to be oprah all hail the twitter king very funny,ashton going oprah hail twitter king very funny,ashton going oprah hail twitter king very funny,ashton going oprah hail twitter king lol,ashton going oprah hail twitter king very funny,ashton going oprah hail twitter king very funny
1468034673,Listening to Bjork's All is full of Love... crying ,0,listening bjork's full love ... crying,listening to bjork's all is full of love ... crying,listening bjork's full love ... crying,listening bjork's full love ... crying,listening bjork's full love ... crying,listening bjork's full love ... crying,listening bjork's full love ... crying
2240602094,@ImajicArt 3 month cancer battle. ,0,@imajicart month cancer battle,@imajicart month cancer battle,@imajicart 3 month cancer battle,@imajicart month cancer battle,@imajicart month cancer battle,@imajicart month cancer battle,month cancer battle
2206742783,"Is it raining in the north end? Too bad, that has no effect on the record of dry days in a row in SEATTLE. We northenders don't count. ",0,raining north end bad effect record dry days row seatle northenders do not count,is it raining in the north end too bad that has no effect on the record of dry days in a row in seatle we northenders do not count,raining north end bad effect record dry days row seatle northenders do not count,raining north end bad effect record dry days row seattle northenders do not count,raining north end bad effect record dry days row seatle northenders do not count,raining north end bad effect record dry days row seatle northenders count,raining north end bad effect record dry days row seatle northenders do not count
1467814180,this week is not going as i had hoped ,0,wk going hoped,this wk is not going as i had hoped,wk going hoped,wk going hoped,week going hoped,wk going hoped,wk going hoped
1467873227,I'm really cold. I don't want to go to sleep yet but there's nothing to do ,0,i'm really cold do not want go sleep yet there's nothing,i'm really cold i do not want to go to sleep yet but there's nothing to do,i'm really cold do not want go sleep yet there's nothing,i'm really cold do not want go sleep yet there's nothing,i'm really cold do not want go sleep yet there's nothing,i'm really cold want go sleep yet there's nothing,i'm really cold do not want go sleep yet there's nothing
1828030638,@dpburland yes i think i might just do that hehe might watch sleepless in seattle my fave ,4,@dpburland yes think might hehe might watch sleepless seatle fave,@dpburland yes i think i might just do that hehe might watch sleepless in seatle my fave,@dpburland yes think might hehe might watch sleepless seatle fave,@dpburland yes think might hehe might watch sleepless seattle fave,@dpburland yes think might hehe might watch sleepless seatle fave,@dpburland yes think might hehe might watch sleepless seatle fave,yes think might hehe might watch sleepless seatle fave
1467971357,Just saw Sunshine Cleaning. I love Amy Adams ,4,saw sunshine cleaning love amy adams,just saw sunshine cleaning i love amy adams,saw sunshine cleaning love amy adams,saw sunshine cleaning love amy adams,saw sunshine cleaning love amy adams,saw sunshine cleaning love amy adams,saw sunshine cleaning love amy adams
2258562048,i'm bored dude ¬¬ nobody wants to take me to mcdonalds... ,0,i'm bored dude ¬ ¬ nobody wants take mcdonalds ...,i'm bored dude ¬ ¬ nobody wants to take me to mcdonalds ...,i'm bored dude ¬ ¬ nobody wants take mcdonalds ...,i'm bored dude ¬ ¬ nobody wants take mcdonalds ...,i'm bored dude ¬ ¬ nobody wants take mcdonalds ...,i'm bored dude ¬ ¬ nobody wants take mcdonalds ...,i'm bored dude ¬ ¬ nobody wants take mcdonalds ...
1467862213,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now,0,@djalizay really do not think people choose way think chose accept family's help might dead,@djalizay i really do not think people choose to be that way but i think he chose not to accept my family's help he might be dead by now,@djalizay really do not think people choose way think chose accept family's help might dead,@djalizay really do not think people choose way think chose accept family's help might dead,@djalizay really do not think people choose way think chose accept family's help might dead,@djalizay really think people choose way think chose accept family's help might dead,really do not think people choose way think chose accept family's help might dead
1979900633,@Miss_Kookie  im good mad my CAvS lost ,0,@mis_kokie im good mad cavs lost,@mis_kokie im good mad my cavs lost,@mis_kokie im good mad cavs lost,@miss_kookie im good mad cavs lost,@mis_kokie im good mad cavs lost,@mis_kokie im good mad cavs lost,_kokie im good mad cavs lost
1468052063,@Kal_Penn I am so sad  Kutner was my favorite of the new team!!,0,@kal_pen sad kutner favorite new team,@kal_pen i am so sad kutner was my favorite of the new team,@kal_pen sad kutner favorite new team,@kal_penn sad kutner favorite new team,@kal_pen sad kutner favorite new team,@kal_pen sad kutner favorite new team,_pen sad kutner favorite new team
1751036928,@wale I'm gonna havta temp stop fllwing u while ur talkin abt kobe bc I loveeeeeeee him &amp; I'm taking it personal and I like lebron 2. ,4,@wale i'm gona havta temp stop flwing talkin abt kobe bc love i'm taking personal like lebron,@wale i'm gona havta temp stop flwing you while your talkin abt kobe bc i love him i'm taking it personal and i like lebron,@wale i'm gona havta temp stop flwing talkin abt kobe bc love i'm taking personal like lebron 2,@wale i'm gonna havta temp stop fllwing talkin abt kobe bc loveeeeeeee i'm taking personal like lebron,@wale i'm gona havta temp stop flwing u ur talkin abt kobe bc love i'm taking personal like lebron,@wale i'm gona havta temp stop flwing talkin abt kobe bc love i'm taking personal like lebron,i'm gona havta temp stop flwing talkin abt kobe bc love i'm taking personal like lebron
1467989500,OK bedtime for me...  We made it through another Monday!!!  YAY!!!  Night Tweets!    *poof*,4,ok bedtime ... made another monday happy night twets poof,ok bedtime for me ... we made it through another monday happy night twets poof,ok bedtime ... made another monday happy night twets poof,ok bedtime ... made another monday happy night tweets poof,ok bedtime ... made another monday yay night twets poof,ok bedtime ... made another monday happy night twets poof,ok bedtime ... made another monday happy night twets poof
1822865989,http://twitpic.com/5c9gs - A picture of Taylor Swift. I really like this picture. I have an exact one on my walls of my room! ,4,htp://twitpic.com/cgs picture taylor swift really like picture exact one wals room,a picture of taylor swift i really like this picture i have an exact one on my wals of my room,picture taylor swift really like picture exact one wals room,picture taylor swift really like picture exact one walls room,picture taylor swift really like picture exact one wals room,picture taylor swift really like picture exact one wals room,picture taylor swift really like picture exact one wals room
1963173652,"Anybody have advice on who to use for printing biz cards besides Overnight (bad experience) &amp; PsPrint, each biz card = sep. project = ",0,anybody advice use printing biz cards besides overnight bad experience psprint biz card sep project,anybody have advice on who to use for printing biz cards besides overnight bad experience psprint each biz card sep project,anybody advice use printing biz cards besides overnight bad experience psprint biz card sep project,anybody advice use printing biz cards besides overnight bad experience psprint biz card sep project,anybody advice use printing biz cards besides overnight bad experience psprint biz card sep project,anybody advice use printing biz cards besides overnight bad experience psprint biz card sep project,anybody advice use printing biz cards besides overnight bad experience psprint biz card sep project
2058860624,"listening to taylor swift, her music makes me sad ",0,listening taylor swift music makes sad,listening to taylor swift her music makes me sad,listening taylor swift music makes sad,listening taylor swift music makes sad,listening taylor swift music makes sad,listening taylor swift music makes sad,listening taylor swift music makes sad
1957158891,@maryaflower McDonalds coffee beat starbucks by a mile in a blind taste test ,4,@maryaflower mcdonalds coffee beat starbucks mile blind taste test,@maryaflower mcdonalds coffee beat starbucks by a mile in a blind taste test,@maryaflower mcdonalds coffee beat starbucks mile blind taste test,@maryaflower mcdonalds coffee beat starbucks mile blind taste test,@maryaflower mcdonalds coffee beat starbucks mile blind taste test,@maryaflower mcdonalds coffee beat starbucks mile blind taste test,mcdonalds coffee beat starbucks mile blind taste test
2266989055,"happy fathers day to all the fathers out there!!!!! unfortunatly im not celebrting, my dad died coz of cancer when i was 8  xxx",0,happy fathers day fathers unfortunatly im celebrting dad died cancer x,happy fathers day to all the fathers out there unfortunatly im not celebrting my dad died because of cancer when i was x,happy fathers day fathers unfortunatly im celebrting dad died cancer 8 x,happy fathers day fathers unfortunatly im celebrting dad died cancer xxx,happy fathers day fathers unfortunatly im celebrting dad died coz cancer x,happy fathers day fathers unfortunatly im celebrting dad died cancer x,happy fathers day fathers unfortunatly im celebrting dad died cancer x
2050828881,"@m3L1nd4 not in youtube,, but in dvd.. about the story it's mix between meteor garden and hana yori dango.. you must watch it.. ",4,@mlnd youtube dvd .. story mix meteor garden hana yori dango .. must watch ..,@mlnd not in youtube but in dvd .. about the story it's mix between meteor garden and hana yori dango .. you must watch it ..,@m3l1nd4 youtube dvd .. story mix meteor garden hana yori dango .. must watch ..,@mlnd youtube dvd .. story mix meteor garden hana yori dango .. must watch ..,@mlnd youtube dvd .. story mix meteor garden hana yori dango .. must watch ..,@mlnd youtube dvd .. story mix meteor garden hana yori dango .. must watch ..,youtube dvd .. story mix meteor garden hana yori dango .. must watch ..
2206318875,I had a dream Michelle Obama was stalking me. She was trying to pin flower broaches one me ,0,dream michele obama stalking trying pin flower broaches one,i had a dream michele obama was stalking me she was trying to pin flower broaches one me,dream michele obama stalking trying pin flower broaches one,dream michelle obama stalking trying pin flower broaches one,dream michele obama stalking trying pin flower broaches one,dream michele obama stalking trying pin flower broaches one,dream michele obama stalking trying pin flower broaches one
1467986614,@arataka yay!  you found them!!!  ,4,@arataka happy found,@arataka happy you found them,@arataka happy found,@arataka happy found,@arataka yay found,@arataka happy found,happy found
1468037016,GuiPulp is open ,4,guipulp open,guipulp is open,guipulp open,guipulp open,guipulp open,guipulp open,guipulp open
1559513777,I can't find my Ipod   Just tore the living room apart and never found it.,0,can not find ipod tore living room apart never found,i can not find my ipod just tore the living room apart and never found it,can not find ipod tore living room apart never found,can not find ipod tore living room apart never found,can not find ipod tore living room apart never found,can't find ipod tore living room apart never found,can not find ipod tore living room apart never found
1995955627,Going to Brians graduation. Wearing Taylor Swift's designed dress. ,4,going brians graduation wearing taylor swift's designed dress,going to brians graduation wearing taylor swift's designed dress,going brians graduation wearing taylor swift's designed dress,going brians graduation wearing taylor swift's designed dress,going brians graduation wearing taylor swift's designed dress,going brians graduation wearing taylor swift's designed dress,going brians graduation wearing taylor swift's designed dress
1833721929,@KidFco0L LMAO my throat hurts... Man I told myself I wasn't gonna come back from vegas with an STD rhis trip ,0,@kidfcol very funny throat hurts ... man told gona come back vegas std rhis trip,@kidfcol very funny my throat hurts ... man i told myself i wasn't gona come back from vegas with an std rhis trip,@kidfco0l very funny throat hurts ... man told gona come back vegas std rhis trip,@kidfcol very funny throat hurts ... man told gonna come back vegas std rhis trip,@kidfcol lmao throat hurts ... man told gona come back vegas std rhis trip,@kidfcol very funny throat hurts ... man told gona come back vegas std rhis trip,very funny throat hurts ... man told gona come back vegas std rhis trip
2177370539,@taylorswift13 you're soooo talented and I wish I could go to one of your concerts! Ily miss taylor swift! ,4,@taylorswift talented wish could go one concerts ily miss taylor swift,@taylorswift you're so talented and i wish i could go to one of your concerts ily miss taylor swift,@taylorswift13 talented wish could go one concerts ily miss taylor swift,@taylorswift soooo talented wish could go one concerts ily miss taylor swift,@taylorswift talented wish could go one concerts ily miss taylor swift,@taylorswift talented wish could go one concerts ily miss taylor swift,talented wish could go one concerts ily miss taylor swift
1979514746,"@harper I'm in the same boat as you.  Happily, there is a McDonalds close by so we can both enjoy a greasy breakfast.",4,@harper i'm boat happily mcdonalds close enjoy greasy breakfast,@harper i'm in the same boat as you happily there is a mcdonalds close by so we can both enjoy a greasy breakfast,@harper i'm boat happily mcdonalds close enjoy greasy breakfast,@harper i'm boat happily mcdonalds close enjoy greasy breakfast,@harper i'm boat happily mcdonalds close enjoy greasy breakfast,@harper i'm boat happily mcdonalds close enjoy greasy breakfast,i'm boat happily mcdonalds close enjoy greasy breakfast
1977022578,@elizard I think Mary is working Monday night too  CAVS need a miracle ,0,@elizard think mary working monday night cavs need miracle,@elizard i think mary is working monday night too cavs need a miracle,@elizard think mary working monday night cavs need miracle,@elizard think mary working monday night cavs need miracle,@elizard think mary working monday night cavs need miracle,@elizard think mary working monday night cavs need miracle,think mary working monday night cavs need miracle
2253406898,@psprkl @sdoyon It's bad for their little baby ears ,0,@psprkl @sdoyon bad little baby ears,@psprkl @sdoyon it's bad for their little baby ears,@psprkl @sdoyon bad little baby ears,@psprkl @sdoyon bad little baby ears,@psprkl @sdoyon bad little baby ears,@psprkl @sdoyon bad little baby ears,bad little baby ears
2232292528,I miss my iPod...life just isn't the same without it ,0,miss ipod ... life without,i miss my ipod ... life just isn't the same without it,miss ipod ... life without,miss ipod ... life without,miss ipod ... life without,miss ipod ... life without,miss ipod ... life without
2003692932,"@mattress i had my ipod to take notes, i just have such a short attention span I forgot by the time my haircut was done. ",0,@matres ipod take notes short attention span forgot time haircut done,@matres i had my ipod to take notes i just have such a short attention span i forgot by the time my haircut was done,@matres ipod take notes short attention span forgot time haircut done,@mattress ipod take notes short attention span forgot time haircut done,@matres ipod take notes short attention span forgot time haircut done,@matres ipod take notes short attention span forgot time haircut done,ipod take notes short attention span forgot time haircut done
1467936920,Finally almost home ,4,finally almost home,finally almost home,finally almost home,finally almost home,finally almost home,finally almost home,finally almost home
2014223504,"@realjohngreen Yeah, Dutch people are up as well ;). Say hi to Sydney for me ",4,@realjohngren yeah dutch people well ;) say hi sydney,@realjohngren yeah dutch people are up as well ;) say hi to sydney for me,@realjohngren yeah dutch people well ;) say hi sydney,@realjohngreen yeah dutch people well ;) say hi sydney,@realjohngren yeah dutch people well ;) say hi sydney,@realjohngren yeah dutch people well ;) say hi sydney,yeah dutch people well happy say hi sydney
1467935121,I wanna be in a punk rock band again ,0,wanna punk rock band,i wanna be in a punk rock band again,wanna punk rock band,wanna punk rock band,wana punk rock band,wanna punk rock band,wanna punk rock band
2255524419,"is running a fever after last night, sad face. ",0,running fever last night sad face,is running a fever after last night sad face,running fever last night sad face,running fever last night sad face,running fever last night sad face,running fever last night sad face,running fever last night sad face
2231401627,Facebook is freaking out.  Apparently I have no friends. Yesterday I had 642. ,0,facebok freaking apparently friends yesterday,facebok is freaking out apparently i have no friends yesterday i had,facebok freaking apparently friends yesterday 642,facebook freaking apparently friends yesterday,facebok freaking apparently friends yesterday,facebok freaking apparently friends yesterday,facebok freaking apparently friends yesterday
1985624215,"i just found my old,  broken, pink ipod nano. poor thing ",0,found old broken pink ipod nano poor thing,i just found my old broken pink ipod nano poor thing,found old broken pink ipod nano poor thing,found old broken pink ipod nano poor thing,found old broken pink ipod nano poor thing,found old broken pink ipod nano poor thing,found old broken pink ipod nano poor thing
1977105075,@Cibaby sorry hear bout the cavs ,0,@cibaby sorry hear cavs,@cibaby sorry hear about the cavs,@cibaby sorry hear cavs,@cibaby sorry hear cavs,@cibaby sorry hear bout cavs,@cibaby sorry hear cavs,sorry hear cavs
1564332091,you know twitter is going places when oprah starts tweeting. oh and larry king! ,4,know twitter going places oprah starts tweting oh larry king,you know twitter is going places when oprah starts tweting oh and larry king,know twitter going places oprah starts tweting oh larry king,know twitter going places oprah starts tweeting oh larry king,know twitter going places oprah starts tweting oh larry king,know twitter going places oprah starts tweting oh larry king,know twitter going places oprah starts tweting oh larry king
2196224069,"Damn, booted up the xbox for the first time in ages and Live is down for maintenance! ",0,damn booted xbox first time ages live maintenance,damn booted up the xbox for the first time in ages and live is down for maintenance,damn booted xbox first time ages live maintenance,damn booted xbox first time ages live maintenance,damn booted xbox first time ages live maintenance,damn booted xbox first time ages live maintenance,damn booted xbox first time ages live maintenance
2014849041,@gfalcone601 i should soo do that but i need to get back to England asap.. miserable in Texas ,0,@gfalcone need get back england as soon as possible .. miserable texas,@gfalcone i should so do that but i need to get back to england as soon as possible .. miserable in texas,@gfalcone601 need get back england as soon as possible .. miserable texas,@gfalcone soo need get back england as soon as possible .. miserable texas,@gfalcone need get back england asap .. miserable texas,@gfalcone need get back england as soon as possible .. miserable texas,need get back england as soon as possible .. miserable texas
2322706077,"way sunburned, if i ever get skin cancer i will credit pool volleyball ",0,way sunburned ever get skin cancer credit pool volleyball,way sunburned if i ever get skin cancer i will credit pool volleyball,way sunburned ever get skin cancer credit pool volleyball,way sunburned ever get skin cancer credit pool volleyball,way sunburned ever get skin cancer credit pool volleyball,way sunburned ever get skin cancer credit pool volleyball,way sunburned ever get skin cancer credit pool volleyball
1694532379,"@Jonasbrothers Nice skillz Nick  x love always, Marjorie &amp; Jemimah. Sydney, Australia.",4,@jonasbrothers nice skilz nick x love always marjorie jemimah sydney australia,@jonasbrothers nice skilz nick x love always marjorie jemimah sydney australia,@jonasbrothers nice skilz nick x love always marjorie jemimah sydney australia,@jonasbrothers nice skillz nick x love always marjorie jemimah sydney australia,@jonasbrothers nice skilz nick x love always marjorie jemimah sydney australia,@jonasbrothers nice skilz nick x love always marjorie jemimah sydney australia,nice skilz nick x love always marjorie jemimah sydney australia
1467972258,@daygan Wow! This Ubuntu feature is really cool  ?? again! Got More??,4,@daygan wow ubuntu feature really cool got,@daygan wow this ubuntu feature is really cool again got more,@daygan wow ubuntu feature really cool got,@daygan wow ubuntu feature really cool got,@daygan wow ubuntu feature really cool got,@daygan wow ubuntu feature really cool got,wow ubuntu feature really cool got
1467929915,"My bathtub drain is fired: it haz 1 job 2 do, &amp; it iz FAIL. I got all Drano on its ass, &amp; iz STILL NOT DRAINING. I wanna shower, dangit!! ",0,bathtub drain fired haz job fail got drano ass still draining wanna shower dang it,my bathtub drain is fired it haz job do it is fail i got all drano on its ass is still not draining i wanna shower dang it,bathtub drain fired haz 1 job 2 fail got drano ass still draining wanna shower dang it,bathtub drain fired haz job fail got drano ass still draining wanna shower dang it,bathtub drain fired haz job iz fail got drano ass iz still draining wana shower dangit,bathtub drain fired haz job fail got drano ass still draining wanna shower dang it,bathtub drain fired haz job fail got drano ass still draining wanna shower dang it
1972285421,wow... all i wanted to do is see taylor swift but of course shes sold out! ,0,wow ... wanted see taylor swift course shes sold,wow ... all i wanted to do is see taylor swift but of course shes sold out,wow ... wanted see taylor swift course shes sold,wow ... wanted see taylor swift course shes sold,wow ... wanted see taylor swift course shes sold,wow ... wanted see taylor swift course shes sold,wow ... wanted see taylor swift course shes sold
1467901351,"@danielkirkley Lead Me To The Cross is one of my favorites!! Great job, D!!! ",4,@danielkirkley lead cross one favorites great job,@danielkirkley lead me to the cross is one of my favorites great job d,@danielkirkley lead cross one favorites great job,@danielkirkley lead cross one favorites great job,@danielkirkley lead cross one favorites great job,@danielkirkley lead cross one favorites great job,lead cross one favorites great job
1835544596,more depressed than you could ever imagine that I won't be going to Vegas.  I hate having to be financially responsible.,0,depressed could ever imagine going vegas hate financially responsible,more depressed than you could ever imagine that i won't be going to vegas i hate having to be financially responsible,depressed could ever imagine going vegas hate financially responsible,depressed could ever imagine going vegas hate financially responsible,depressed could ever imagine going vegas hate financially responsible,depressed could ever imagine going vegas hate financially responsible,depressed could ever imagine going vegas hate financially responsible
2175347246,Lakers=WorldCHhampions!!! Wooo!! Dangg The &quot; Laker Parade&quot; Was Straight Up Crazyy! Ahahaha ,4,lakers worldchampions woo dang laker parade straight crazy ahahaha,lakers worldchampions woo dang the laker parade was straight up crazy ahahaha,lakers worldchampions woo dang laker parade straight crazy ahahaha,lakers worldchhampions wooo dangg laker parade straight crazyy ahahaha,lakers worldchampions woo dang laker parade straight crazy ahahaha,lakers worldchampions woo dang laker parade straight crazy ahahaha,lakers worldchampions woo dang laker parade straight crazy ahahaha
1881753278,In Mcdonalds....... Wanted To See Star Trek But All Late Times ,0,mcdonalds ... wanted see star trek late times,in mcdonalds ... wanted to see star trek but all late times,mcdonalds ... wanted see star trek late times,mcdonalds ... wanted see star trek late times,mcdonalds ... wanted see star trek late times,mcdonalds ... wanted see star trek late times,mcdonalds ... wanted see star trek late times
1573717335,"This is wario, I wish there is wario land game in PSP  , I miss this game, last time I played it was wi... - Photo: http://bkite.com/06H8T",0,wario wish wario land game psp miss game last time played wi ... photo htp://bkite.com/ht,this is wario i wish there is wario land game in psp i miss this game last time i played it was wi ... photo,wario wish wario land game psp miss game last time played wi ... photo,wario wish wario land game psp miss game last time played wi ... photo,wario wish wario land game psp miss game last time played wi ... photo,wario wish wario land game psp miss game last time played wi ... photo,wario wish wario land game psp miss game last time played wi ... photo
2220967351,@JonasAustralia I have to wait till next week.. I get paid on monday. ,0,@jonasaustralia wait till next wk .. get paid monday,@jonasaustralia i have to wait till next wk .. i get paid on monday,@jonasaustralia wait till next wk .. get paid monday,@jonasaustralia wait till next wk .. get paid monday,@jonasaustralia wait till next week .. get paid monday,@jonasaustralia wait till next wk .. get paid monday,wait till next wk .. get paid monday
1468022265,Smugness gone. My train also failed to turn up so I'm heading for Victoria followed by an unpleasant tube ride to the City. ,0,smugness gone train also failed turn i'm heading victoria folowed unpleasant tube ride city,smugness gone my train also failed to turn up so i'm heading for victoria folowed by an unpleasant tube ride to the city,smugness gone train also failed turn i'm heading victoria folowed unpleasant tube ride city,smugness gone train also failed turn i'm heading victoria followed unpleasant tube ride city,smugness gone train also failed turn i'm heading victoria folowed unpleasant tube ride city,smugness gone train also failed turn i'm heading victoria folowed unpleasant tube ride city,smugness gone train also failed turn i'm heading victoria folowed unpleasant tube ride city
2247048768,gots a headache and baby eric's got a fever  crying fussy baby=no fun,0,gots headache baby eric's got fever crying fussy baby fun,gots a headache and baby eric's got a fever crying fussy baby no fun,gots headache baby eric's got fever crying fussy baby fun,gots headache baby eric's got fever crying fussy baby fun,gots headache baby eric's got fever crying fussy baby fun,gots headache baby eric's got fever crying fussy baby fun,gots headache baby eric's got fever crying fussy baby fun
